Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
9130011E15Rik	-0.02	0.71	0.78	0.23	0.12	0.52	-0.3	0.043	0.17	-0.28	0.076	0.23
9130015L21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9130017K11Rik	-1.2	0.19	0.28	-1.8	0.25	0.79	0.98	0.35	0.75	2.2	0.061	0.2
9130017N09Rik	-0.33	0.12	0.2	-0.18	0.71	0.9	-0.17	0.4	0.8	0.16	0.48	0.68
9130019O22Rik	-0.17	0.28	0.39	0.28	0.53	0.9	-0.06	0.88	0.9	0.1	0.8	0.82
9130019P16Rik	-1.4	9.5e-06	0.0016	-0.84	0.23	0.75	-0.73	0.26	0.59	0.7	0.28	0.63
9130020K20Rik	-0.15	0.62	0.7	0.57	0.52	0.9	0.66	0.45	0.8	0.81	0.35	0.68
9130023H24Rik	0.15	0.51	0.59	0.89	0.01	0.12	0.99	0.01	0.062	0.85	0.021	0.091
9130024F11Rik	-0.14	0.74	0.8	1.4	0.21	0.73	2	0.087	0.28	2.2	0.069	0.22
9130204K15Rik	-1.2	0.42	0.52	-0.69	0.46	0.9	-3	0.0054	0.042	-1.7	0.23	0.54
9130204L05Rik	0.61	0.44	0.54	-0.1	0.88	0.91	-1.7	0.042	0.16	-2.3	0.0015	0.018
9130206I24Rik	0.25	0.2	0.29	1.8	0.059	0.32	4.1	0.0046	0.038	3.9	0.0053	0.036
9130208D14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9130213A22Rik	-0.39	0.79	0.84	-0.04	0.86	0.9	1.5	0.26	0.59	1.8	0.0078	0.046
9130221H12Rik	-0.4	0.029	0.06	0.92	0.0037	0.076	1.1	0.0012	0.019	1.5	6e-04	0.012
9130230L23Rik	1.3	0.22	0.32	0.95	0.52	0.9	0.62	0.64	0.8	-0.72	0.61	0.68
9130230N09Rik	-0.76	0.6	0.68	-0.4	0.87	0.9	-0.64	0.77	0.8	0.1	0.96	0.96
9130401M01Rik	0.5	0.025	0.051	-0.49	0.28	0.82	-0.13	0.65	0.8	-0.63	0.067	0.21
9130409I23Rik	0.16	0.002	0.0048	1.4	0.32	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
9130409J20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9130410C08Rik	1	0.0099	0.022	4.1	0.0015	0.054	8.1	1.1e-05	0.008	7	1.3e-05	0.007
9230009I02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230019H11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230020A06Rik	0.16	0.002	0.0048	-1.6	0.31	0.83	-1.5	0.32	0.69	-1.7	0.27	0.62
9230102O04Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
9230104L09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230105E05Rik	0.95	0.29	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
9230106D20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230109A22Rik	0.95	0.29	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
9230110C19Rik	-0.7	0.049	0.092	-0.29	0.24	0.77	-0.05	0.81	0.84	0.65	0.032	0.12
9230110F15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230111E07Rik	0.12	0.91	0.93	-1.3	0.11	0.48	-0.21	0.58	0.8	-0.34	0.68	0.72
9230112D13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230112E08Rik	-0.62	0.19	0.28	1.2	0.1	0.46	1	0.13	0.39	1.7	0.054	0.18
9230113P08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9230115E21Rik	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
9230117E06Rik	0.95	0.29	0.4	-0.66	0.61	0.9	-0.56	0.66	0.8	-1.5	0.22	0.53
9330020H09Rik	-0.2	0.52	0.6	-0.47	0.44	0.9	0.5	0.3	0.66	0.7	0.19	0.48
9330101J02Rik	-1.2	0.18	0.27	-0.97	0.49	0.9	0.43	0.51	0.8	1.6	0.021	0.088
9330132A10Rik	0.92	0.095	0.16	1.6	0.014	0.14	0.38	0.25	0.59	-0.55	0.2	0.51
9330154J02Rik	-0.63	0.37	0.47	-3	0.015	0.14	-0.75	0.4	0.8	-0.12	0.86	0.88
9330154K18Rik	-0.21	0.88	0.91	2.3	0.0011	0.049	0.85	0.26	0.59	1.1	0.31	0.67
9330158H04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9330159F19Rik	-1.8	0.0092	0.021	-0.73	0.015	0.15	-0.49	0.076	0.25	1.3	0.0018	0.02
9330159N05Rik	1.3	0.32	0.42	1.9	0.013	0.13	1.2	0.26	0.59	-0.1	0.64	0.68
9330160F10Rik	-2.4	0.28	0.39	-0.42	0.71	0.9	0.62	0.71	0.8	3	0.049	0.17
9330161L09Rik	-0.11	0.84	0.88	-0.66	0.31	0.83	0.24	0.55	0.8	0.35	0.36	0.68
9330162012Rik	-0.69	0.15	0.23	-2.3	0.17	0.64	-2	0.0056	0.043	-1.3	0.0035	0.028
9330171B17Rik	0.16	0.89	0.91	0.77	0.62	0.9	0.07	0.95	0.96	-0.1	0.92	0.93
9330182L06Rik	-1.1	0.0086	0.019	3	0.0018	0.058	2.2	0.0041	0.035	3.3	0.0011	0.016
9330182O14Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
9330198N18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9430002A10Rik	-0.02	0.97	0.98	0.12	0.9	0.93	0.28	0.69	0.8	0.3	0.54	0.68
9430007A20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9430008C03Rik	0.34	0.057	0.11	-0.45	0.077	0.38	0.2	0.26	0.59	-0.14	0.46	0.68
9430015G10Rik	-0.01	0.91	0.93	-0.22	0.041	0.26	0.35	0.013	0.071	0.36	0.042	0.15
9430016H08Rik	0.03	0.42	0.52	-0.17	0.15	0.6	-0.39	0.013	0.072	-0.42	0.014	0.069
9430020K01Rik	-0.57	0.039	0.075	0.54	0.0026	0.067	0.58	0.003	0.03	1.2	0.0014	0.018
9430021M05Rik	-0.21	0.88	0.91	1.3	0.31	0.83	-0.31	0.78	0.81	-0.1	0.94	0.95
9430023L20Rik	0.22	0.24	0.34	-0.26	0.68	0.9	0	0.99	0.99	-0.21	0.64	0.68
9430024E24Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
9430025C20Rik	-0.28	0.71	0.77	-1.2	0.31	0.83	1.5	0.22	0.58	1.8	0.2	0.5
9430029A11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9430038I01Rik	0.58	0.0052	0.012	-0.06	0.79	0.9	-0.55	0.03	0.13	-1.1	0.0035	0.028
9430041J12Rik	-0.34	0.77	0.82	-2.6	0.018	0.16	-2.5	0.019	0.094	-2.1	0.081	0.25
9430069I07Rik	0.95	0.3	0.4	-2.9	0.0082	0.11	-5.4	0.0021	0.025	-6.3	3.1e-05	0.007
9430073C21Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
9430091E24Rik	-0.8	0.25	0.36	0.81	0.08	0.39	0.82	0.011	0.065	1.6	0.032	0.12
9430093N23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9430097D07Rik	-0.45	0.78	0.84	-1.7	0.25	0.79	-2.4	0.031	0.13	-2	0.16	0.43
9530002B09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9530003J23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9530026F06Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
9530034E10Rik	0.16	0.002	0.0048	-1.2	0.24	0.76	-1.1	0.26	0.59	-1.2	0.21	0.51
9530036M11Rik	0.95	0.29	0.4	-1.6	0.31	0.83	-0.72	0.64	0.8	-1.7	0.27	0.62
9530046B11Rik	0.95	0.3	0.4	-1.8	0.17	0.64	-1.7	0.19	0.51	-2.6	0.038	0.14
9530048J24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9530051G07Rik	-1	0.0091	0.02	0.24	0.67	0.9	1.5	0.012	0.069	2.5	0.0025	0.024
9530053A07Rik	-0.24	0.69	0.76	0.57	0.24	0.77	1	0.062	0.22	1.2	0.11	0.3
9530056K15Rik	-0.45	0.78	0.84	1.4	0.073	0.37	0.85	0.26	0.59	1.3	0.3	0.66
9530068E07Rik	-0.32	0.021	0.045	0.95	0.00091	0.047	2.5	3.4e-05	0.008	2.8	1.9e-05	0.007
9530072K05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9530077C05Rik	-0.51	0.15	0.23	0.25	0.42	0.9	-0.11	0.73	0.8	0.4	0.26	0.6
9530080O11Rik	2.4	0.16	0.25	-1.1	0.34	0.86	1.2	0.12	0.36	-1.1	0.32	0.68
9630013D21Rik	0.16	0.002	0.0048	1.6	0.28	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
9630013K17Rik	-1.4	9.5e-06	0.0016	0.92	0.49	0.9	-1.4	0.26	0.59	0.09	0.94	0.94
9630014M24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9630028B13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9630028H03Rik	-1.2	0.42	0.52	-0.83	0.33	0.84	-0.73	0.37	0.77	0.51	0.71	0.75
9630033F20Rik	0.51	0.00079	0.0048	-0.56	0.0029	0.069	-0.82	0.00075	0.015	-1.3	0.00022	0.0089
9630041A04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9830107B12Rik	1.8	5.8e-06	0.0016	-0.04	0.86	0.9	1.6	0.0019	0.023	-0.1	0.64	0.68
9830144P21Rik	1.1	0.51	0.59	-1	0.22	0.75	-2.4	0.024	0.11	-3.5	0.064	0.21
9830147E19Rik	0.62	0.097	0.16	0.06	0.87	0.9	-0.67	0.082	0.27	-1.3	0.023	0.097
9930004E17Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
9930012K11Rik	-0.5	0.37	0.47	-0.32	0.16	0.61	0.25	0.32	0.7	0.75	0.12	0.35
9930013L23Rik	-0.33	0.56	0.64	-0.14	0.52	0.9	1.1	0.0084	0.054	1.4	0.032	0.12
9930021J03Rik	-0.02	0.69	0.76	0.26	0.25	0.79	-0.02	0.92	0.94	0	0.98	0.99
9930022D16Rik	0.95	0.29	0.4	-0.84	0.23	0.75	0.06	0.95	0.96	-0.89	0.19	0.48
9930038B18Rik	0.95	0.3	0.4	0.75	0.3	0.82	0.85	0.26	0.59	-0.1	0.64	0.68
9930038K12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9930104L06Rik	-0.05	0.4	0.5	-0.43	0.0059	0.092	-0.26	0.034	0.14	-0.21	0.071	0.22
9930111J21Rik1	2.1	0.014	0.031	-0.26	0.87	0.9	0.62	0.64	0.8	-1.5	0.27	0.62
9930111J21Rik2	0.16	0.002	0.0048	0.74	0.61	0.9	-1.5	0.26	0.59	-1.7	0.22	0.54
a	0.16	0.002	0.0048	0.55	0.69	0.9	-0.73	0.26	0.59	-0.89	0.19	0.48
A030003K02Rik	0.46	0.011	0.024	0.32	0.61	0.9	0.71	0.044	0.17	0.24	0.37	0.68
A030009H04Rik	-0.33	0.39	0.49	0.36	0.25	0.78	0.73	0.065	0.23	1.1	0.016	0.073
A130006I12Rik	-0.21	0.59	0.67	2	0.063	0.34	1.2	0.13	0.39	1.4	0.067	0.21
A130010J15Rik	0.07	0.48	0.57	0.25	0.12	0.52	-0.25	0.045	0.17	-0.32	0.058	0.19
A130023I24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A130030D18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A130049A11Rik	-0.26	0.64	0.71	-0.45	0.47	0.9	-0.07	0.91	0.92	0.19	0.72	0.76
A130050O07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A130051J06Rik	1.5	0.42	0.53	0.79	0.072	0.36	0.2	0.72	0.8	-1.3	0.37	0.68
A130057D12Rik	0.95	0.29	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
A130066N16Rik	1.3	0.32	0.42	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
A1bg	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A1cf	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A230004M16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A230005M16Rik	-1	0.43	0.53	0.53	0.69	0.9	-3.1	0.058	0.21	-2	0.23	0.54
A230006K03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A230009B12Rik	1.6	0.32	0.42	-0.04	0.86	0.9	1.5	0.26	0.59	-0.1	0.64	0.68
A230046K03Rik	-0.09	0.22	0.32	0.06	0.75	0.9	-0.61	0.0075	0.051	-0.51	0.011	0.056
A230050P20Rik	0.51	0.32	0.42	-2.2	0.001	0.048	-2.8	0.0014	0.021	-3.3	0.00032	0.0098
A230052G05Rik	-3.6	0.07	0.13	-0.04	0.86	0.9	1.2	0.26	0.59	4.8	0.00077	0.013
A230056P14Rik	-2.3	0.29	0.4	1.5	0.12	0.52	0.07	0.95	0.96	2.4	0.19	0.48
A230059L01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A230065H16Rik	1.6	0.32	0.42	1.1	0.29	0.82	1.5	0.26	0.59	-0.1	0.64	0.68
A230065N10Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
A230071N21Rik	-1.3	0.052	0.098	0.18	0.43	0.9	0.06	0.76	0.8	1.3	0.019	0.085
A230072C01Rik	-0.3	0.57	0.65	0.19	0.3	0.83	0.78	0.047	0.18	1.1	0.043	0.15
A230072E10Rik	-0.41	0.69	0.76	-0.05	0.97	0.98	0.85	0.39	0.8	1.3	0.31	0.67
A230072I06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A230083G16Rik	0.16	0.89	0.91	-0.04	0.86	0.9	0.85	0.26	0.59	0.69	0.34	0.68
A230083N12Rik	-1.5	0.2	0.3	-0.46	0.82	0.9	-0.19	0.91	0.92	1.3	0.47	0.68
A230103J11Rik	0.77	0.17	0.26	-1.2	0.31	0.83	1.5	0.22	0.58	0.69	0.54	0.68
A230108P19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A2m	-0.54	0.44	0.54	-2	0.0064	0.095	-4.3	0.0032	0.031	-3.8	0.00059	0.012
A330008L17Rik	0.16	0.002	0.0048	2.2	0.026	0.2	0.06	0.77	0.8	-0.1	0.64	0.68
A330017A19Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
A330021E22Rik	-1.3	0.034	0.067	0.1	0.84	0.9	-0.87	0.16	0.45	0.39	0.49	0.68
A330035P11Rik	-0.89	0.052	0.098	1.2	0.03	0.21	1.1	0.021	0.099	2	0.0064	0.041
A330040F15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A330041J22Rik	-0.45	0.78	0.84	-0.04	0.86	0.9	0.85	0.26	0.59	1.3	0.3	0.66
A330043C09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A330044P14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A330050B17Rik	-1.6	0.24	0.35	1.3	0.13	0.54	0.28	0.81	0.84	1.9	0.052	0.18
A330050F15Rik	-3.6	0.037	0.072	0	1	1	-3.2	0.00051	0.013	0.31	0.7	0.74
A330070K13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A330102I10Rik	0.95	0.3	0.4	-0.76	0.46	0.9	-1.5	0.12	0.36	-2.4	0.067	0.21
A3galt2	-0.37	0.49	0.57	2.6	0.055	0.31	5	0.00041	0.013	5.4	0.00011	0.0077
A430005L14Rik	0.42	0.0078	0.018	-0.37	0.51	0.9	0.29	0.4	0.8	-0.13	0.69	0.73
A430010J10Rik	0.16	0.002	0.0048	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.89	0.19	0.48
A430018G15Rik	-1.6	0.026	0.053	0.7	0.013	0.13	-0.87	0.033	0.14	0.71	0.047	0.16
A430033K04Rik	-0.48	0.0095	0.021	0.43	0.031	0.21	-0.2	0.18	0.49	0.28	0.12	0.35
A430035B10Rik	-1.7	0.078	0.14	3.8	0.00025	0.042	3.5	0.0042	0.036	5.2	4.9e-05	0.007
A430048G15Rik	0.16	0.002	0.0048	-1.2	0.24	0.76	-1.1	0.26	0.59	-1.2	0.21	0.51
A430057M04Rik	-0.01	0.98	0.98	-1.7	0.13	0.55	-0.26	0.78	0.81	-0.26	0.77	0.8
A430060F13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A430071A18Rik	-0.39	0.79	0.84	-0.04	0.86	0.9	1.5	0.26	0.59	1.8	0.0078	0.046
A430072P03Rik	1.2	0.56	0.64	-0.04	0.86	0.9	1.9	0.26	0.59	0.69	0.34	0.68
A430078G23Rik	0.16	0.002	0.0048	-1.5	0.24	0.77	-1.4	0.26	0.59	-1.5	0.22	0.53
A430078I02Rik	-0.53	0.36	0.46	-0.83	0.33	0.84	1.8	0.075	0.25	2.4	0.046	0.16
A430092G05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A430093F15Rik	0.95	0.3	0.4	-0.04	0.86	0.9	1.6	0.0019	0.023	0.69	0.34	0.68
A430104N18Rik	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
A430105I19Rik	-1.3	0.11	0.18	-2.4	0.098	0.44	-0.18	0.56	0.8	1.1	0.056	0.19
A430108G06Rik	-0.05	0.95	0.96	-1.2	0.16	0.61	0.06	0.93	0.95	0.12	0.81	0.83
A430110C17Rik	0.71	0.17	0.26	3.5	0.0062	0.093	3.6	0.00089	0.017	2.9	0.00058	0.012
A430110L20Rik	-0.72	0.56	0.64	0.33	0.46	0.9	2	0.11	0.33	2.7	0.0013	0.018
A4galt	-0.27	0.35	0.46	0.83	0.0068	0.097	0.13	0.3	0.66	0.4	0.17	0.44
A4gnt	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
A530006G24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530010F05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530013C23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530016L24Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
A530017D24Rik	0.18	0.5	0.58	0.19	0.64	0.9	-0.11	0.78	0.81	-0.28	0.49	0.68
A530021J07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530032D15Rik	1.8	5.8e-06	0.0016	-1.8	0.25	0.78	-0.09	0.94	0.96	-1.8	0.22	0.54
A530040E14Rik	1.8	0.33	0.43	0.2	0.83	0.9	-1	0.52	0.8	-2.7	0.026	0.1
A530040E14RIK	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530053G22Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
A530054K11Rik	-0.29	0.31	0.41	-0.37	0.16	0.6	-0.84	0.0098	0.06	-0.56	0.072	0.22
A530058N18Rik	-1.5	0.11	0.18	-0.04	0.86	0.9	0.06	0.77	0.8	1.6	0.05	0.17
A530064D06Rik	1.3	0.22	0.32	-0.04	0.86	0.9	2	0.0065	0.046	0.69	0.34	0.68
A530072M11Rik	-0.44	0.56	0.64	-0.98	0.14	0.55	0.37	0.53	0.8	0.81	0.096	0.28
A530076I17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A530084C06Rik	0.59	0.15	0.23	-2.2	0.13	0.53	-0.53	0.14	0.4	-1.1	0.029	0.11
A530088E08Rik	1.6	0.32	0.42	1.1	0.29	0.82	1.5	0.26	0.59	-0.1	0.64	0.68
A530095I07Rik	-1.2	0.42	0.52	-0.04	0.86	0.9	0.06	0.77	0.8	1.3	0.3	0.66
A530099J19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630001G21Rik	-0.4	0.7	0.77	-1.9	0.011	0.12	-3	0.025	0.11	-2.6	0.00016	0.0083
A630007B06Rik	-0.21	0.0047	0.011	0.53	0.0094	0.11	-0.07	0.35	0.74	0.13	0.16	0.43
A630010A05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630012P03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630014C17Rik	-0.21	0.59	0.67	1.2	0.29	0.82	0.74	0.5	0.8	0.95	0.4	0.68
A630023A22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630023P12Rik	0.16	0.002	0.0048	1.4	0.32	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
A630031M04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630033H20Rik	0.16	0.002	0.0048	-3.2	0.00034	0.043	-3.1	0.00021	0.01	-3.3	0.00019	0.0087
A630050E04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630052C17Rik	-0.03	0.86	0.9	0.07	0.75	0.9	0.79	0.021	0.099	0.82	0.031	0.12
A630073D07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630076J17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630077J23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630081J09Rik	0.75	0.3	0.41	-0.09	0.76	0.9	-0.81	0.12	0.37	-1.6	0.027	0.11
A630091E08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A630095E13Rik	0.16	0.002	0.0048	-0.95	0.43	0.9	-2.3	0.00063	0.014	-2.4	0.00054	0.012
A630095N17Rik	0.16	0.002	0.0048	-2.1	0.11	0.48	-3.2	0.0037	0.034	-3.4	0.003	0.026
A730011C13Rik	-0.49	0.018	0.038	-0.31	0.67	0.9	1.2	0.034	0.14	1.7	0.012	0.06
A730013G03Rik	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
A730015C16Rik	-0.63	0.61	0.69	0.75	0.3	0.82	1.2	0.26	0.59	1.8	0.0078	0.046
A730017C20Rik	0.09	0.71	0.78	0.55	0.5	0.9	4.1	0.0044	0.037	4	0.004	0.031
A730017L22Rik	-0.34	0.13	0.2	1.2	0.0057	0.09	1.4	0.0021	0.025	1.8	0.0018	0.02
A730018C14Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
A730020M07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A730032A03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A730035I17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A730036I17Rik	-0.63	0.46	0.55	-2.4	0.19	0.67	-3.9	0.013	0.071	-3.3	0.038	0.14
A730045E13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A730046J19Rik	-0.2	0.86	0.9	1.1	0.0027	0.067	-3	6.3e-05	0.008	-2.8	0.036	0.13
A730049H05Rik	0.22	0.67	0.74	2.1	0.0071	0.099	0.8	0.16	0.44	0.58	0.27	0.63
A730060N03Rik	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
A730061H03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
A730071L15Rik	0.16	0.85	0.89	0.97	0.55	0.9	0.29	0.86	0.88	0.15	0.93	0.94
A730081D07Rik	-0.44	0.086	0.15	-0.03	0.98	0.98	3.4	0.013	0.071	3.8	0.0086	0.049
A730085A09Rik	0.32	0.32	0.42	-0.31	0.28	0.82	-1.6	0.0049	0.04	-1.9	0.0055	0.037
A730085K08Rik	1.6	0.32	0.42	-0.04	0.86	0.9	1.5	0.26	0.59	-0.1	0.64	0.68
A730090H04Rik	1.5	0.0031	0.0072	2.1	0.067	0.35	2.6	0.00041	0.013	1.1	0.0099	0.054
A730090N16Rik	-1	0.032	0.064	1.3	0.27	0.82	2.2	0.1	0.32	3.2	0.039	0.14
A830005F24Rik	-1.2	0.31	0.41	0.32	0.75	0.9	0.69	0.55	0.8	1.9	0.084	0.25
A830010M20Rik	-0.62	0.049	0.094	1	0.0025	0.066	0.29	0.046	0.18	0.91	0.0089	0.05
A830011K09Rik	-0.02	0.99	0.99	-0.84	0.23	0.75	0.67	0.61	0.8	0.7	0.28	0.63
